id,payload,status,response_size,blocked
0,1' or ' ( 1' or 1 = 1 -- 1,403,146,True
1,"1  )  )   )  and 2853 = cast  (*) ||chr (*) ||chr (*) ||chr (*) ||chr (*)  )  || (*)  then 1 else 0 end  )  )  ::text|| (*) ||chr (*) ||chr (*) ||chr (*) ||chr (*)  )   as numeric )  and   (  (  5281 = 5281,1 -- 1",403,146,True
2,"4571 = 4571 ' union all select 4571,4571,4571,4571,4571#,1 -- 1",403,146,True
3,1' or '1' = '1 -- 1,403,146,True
4,"1' or ',1' or 1 = 1 -- 1",403,146,True
5,"4885 = 4885 ' union all select null,null,null,null,null,null#,1 -- 1",403,146,True
6,"1' or '1' = '1,1 -- 1",403,146,True
7,1' or '1' or 1 = 1 -- 1,403,146,True
8,1' or ' ( 1' or 1 = 1 -- 1,403,146,True
9,"-9880' union all select 1995,1995,1995,1995,1995,1995,1995,1995,1995#,1 -- 1",403,146,True
10,"1' or 1#'{ ' union select 'a',version (*)  --",403,146,True
11,"1' or 1#'; ' union select null,version (*)  --",403,146,True
12,"1 )  where 2169 = 2169 and 2388 = benchmark (*)  )  #,1 -- 1",403,146,True
13,"6856 = 6856 ' union all select null,null,null,null,null,null,null#,1 -- 1",403,146,True
14,"4889 = 4889 ' union all select 4889,4889,4889,4889#,1 -- 1",403,146,True
15,"1' union all select null,null,null,null,null,null,null,null#,1 -- 1",403,146,True
16,"1' union all select null,null,null,null,null,null#,1 -- 1",403,146,True
17,"1' or 1#'. ' union select 'a',version (*)  -- 1",403,146,True
18,1' or ';_' or 1 = 1 -- 1,403,146,True
19,"6261 = 6261 ' union all select null,null,null,null,null,null#,1 -- 1",403,146,True
20,1' or ' ) @' or 1 = 1 -- 1,403,146,True
21,"4161 = 4161 ' union all select 4161,4161,4161,4161,4161,4161,4161,4161,4161#,1 -- 1",403,146,True
22,"2111 = 2111 ' union all select null,null,null,null#,1 -- 1",403,146,True
23,"1' union select null,@@VERSION --",403,146,True
24,1' or ' ( {' or 1 = 1 -- 1,403,146,True
25,1' or '1' or 1 = 1 -- 1,403,146,True
26,"1%' union all select null,null,null,null,null,null,null#,1 -- 1",403,146,True
27,"1' or 1#'; ' union select 'a',version (*)  -- 1",403,146,True
28,"1' or 1#'$ ' union select null,version (*)  --",403,146,True
29,"1 ' union select null,banner from v$version where' rownumnum = 1 -- 1",403,146,True
30,"1 and sleep (*) # qcyj,1 -- 1",200,1523,False
31,"1  )  )   )  and 2388 = benchmark (*)  )   and   (  (   ( 6556 = 6556,1 -- 1",403,146,True
32,"1' or '1' = '1,1 -- 1",403,146,True
33,1' or '1' = 1 or 1 = 1 -- 1,403,146,True
34,"1' or '{,' = 1 or 1 = 1 -- 1",403,146,True
35,"3877 = 3877 ' union all select 3877,3877,3877,3877,3877,3877,3877#,1 -- 1",403,146,True
36,1' or '1' = '1 or 1 = 1 -- 1,403,146,True
37,1' or ' ( [' or 1 = 1 -- 1,403,146,True
38,"1' union all select null,null,null,null,null,null#,1 -- 1",403,146,True
39,1' or ' ) @' or 1 = 1 -- 1,403,146,True
40,"1  )  )   )  ' union select null,banner from v$version where' rownumnum = 1 -- 1",403,146,True
41,1' or '1#' or 1 = 1 -- 1,403,146,True
42,"1  )  )   )  and 2388 = benchmark (*)  )  #,1 -- 1",403,146,True
43,"1' union all select null,banner from v$version where' rownumnum = 1 --",403,146,True
44,"1' or ',{' or 1 = 1 -- 1",403,146,True
45,"1' union select 1,banner from v$version where rownum = 1 -- 1",403,146,True
46,1' or '1' or 1 = 1 -- 1,403,146,True
47,"2182 = 2182 ' union all select 2182,2182,2182,2182#,1 -- 1",403,146,True
48,1' or ' ) [' or 1 = 1 -- 1,403,146,True
49,1' or ' ( @' or 1 = 1 -- 1,403,146,True
